"country","date","variable","value"
"CR",2020-04-05,"grocery and pharmacy",-41
"CR",2020-04-04,"grocery and pharmacy",-40
"CR",2020-04-03,"grocery and pharmacy",-29
"CR",2020-04-02,"grocery and pharmacy",-23
"CR",2020-04-01,"grocery and pharmacy",-27
"CR",2020-03-31,"grocery and pharmacy",-27
"CR",2020-03-30,"grocery and pharmacy",-28
"CR",2020-03-29,"grocery and pharmacy",-41
"CR",2020-03-28,"grocery and pharmacy",-33
"CR",2020-03-27,"grocery and pharmacy",-29
"CR",2020-03-26,"grocery and pharmacy",-35
"CR",2020-03-25,"grocery and pharmacy",-36
"CR",2020-03-24,"grocery and pharmacy",-35
"CR",2020-03-23,"grocery and pharmacy",-32
"CR",2020-03-22,"grocery and pharmacy",-40
"CR",2020-03-21,"grocery and pharmacy",-33
"CR",2020-03-20,"grocery and pharmacy",-25
"CR",2020-03-19,"grocery and pharmacy",-17
"CR",2020-03-18,"grocery and pharmacy",-13
"CR",2020-03-17,"grocery and pharmacy",-4
"CR",2020-03-16,"grocery and pharmacy",8
"CR",2020-03-15,"grocery and pharmacy",7
"CR",2020-03-14,"grocery and pharmacy",7
"CR",2020-03-13,"grocery and pharmacy",6
"CR",2020-03-12,"grocery and pharmacy",1
"CR",2020-03-11,"grocery and pharmacy",-1
"CR",2020-03-10,"grocery and pharmacy",2
"CR",2020-03-09,"grocery and pharmacy",4
"CR",2020-03-08,"grocery and pharmacy",4
"CR",2020-03-07,"grocery and pharmacy",4
"CR",2020-03-06,"grocery and pharmacy",3
"CR",2020-03-05,"grocery and pharmacy",2
"CR",2020-03-04,"grocery and pharmacy",2
"CR",2020-03-03,"grocery and pharmacy",4
"CR",2020-03-02,"grocery and pharmacy",8
"CR",2020-03-01,"grocery and pharmacy",11
"CR",2020-02-29,"grocery and pharmacy",13
"CR",2020-02-28,"grocery and pharmacy",11
"CR",2020-02-27,"grocery and pharmacy",4
"CR",2020-02-26,"grocery and pharmacy",-1
"CR",2020-02-25,"grocery and pharmacy",-2
"CR",2020-02-24,"grocery and pharmacy",-1
"CR",2020-02-23,"grocery and pharmacy",1
"CR",2020-02-22,"grocery and pharmacy",2
"CR",2020-02-21,"grocery and pharmacy",1
"CR",2020-02-20,"grocery and pharmacy",0
"CR",2020-02-19,"grocery and pharmacy",-1
"CR",2020-02-18,"grocery and pharmacy",0
"CR",2020-02-17,"grocery and pharmacy",3
"CR",2020-02-16,"grocery and pharmacy",5
"CR",2020-04-05,"parks",-74
"CR",2020-04-04,"parks",-69
"CR",2020-04-03,"parks",-57
"CR",2020-04-02,"parks",-54
"CR",2020-04-01,"parks",-54
"CR",2020-03-31,"parks",-53
"CR",2020-03-30,"parks",-53
"CR",2020-03-29,"parks",-71
"CR",2020-03-28,"parks",-63
"CR",2020-03-27,"parks",-56
"CR",2020-03-26,"parks",-58
"CR",2020-03-25,"parks",-57
"CR",2020-03-24,"parks",-58
"CR",2020-03-23,"parks",-54
"CR",2020-03-22,"parks",-66
"CR",2020-03-21,"parks",-62
"CR",2020-03-20,"parks",-52
"CR",2020-03-19,"parks",-45
"CR",2020-03-18,"parks",-35
"CR",2020-03-17,"parks",-29
"CR",2020-03-16,"parks",-19
"CR",2020-03-15,"parks",-20
"CR",2020-03-14,"parks",-16
"CR",2020-03-13,"parks",-11
"CR",2020-03-12,"parks",-12
"CR",2020-03-11,"parks",-11
"CR",2020-03-10,"parks",-8
"CR",2020-03-09,"parks",-6
"CR",2020-03-08,"parks",-6
"CR",2020-03-07,"parks",-6
"CR",2020-03-06,"parks",-5
"CR",2020-03-05,"parks",-4
"CR",2020-03-04,"parks",-2
"CR",2020-03-03,"parks",0
"CR",2020-03-02,"parks",2
"CR",2020-03-01,"parks",2
"CR",2020-02-29,"parks",1
"CR",2020-02-28,"parks",2
"CR",2020-02-27,"parks",-2
"CR",2020-02-26,"parks",-4
"CR",2020-02-25,"parks",-1
"CR",2020-02-24,"parks",-1
"CR",2020-02-23,"parks",-1
"CR",2020-02-22,"parks",-1
"CR",2020-02-21,"parks",-2
"CR",2020-02-20,"parks",-4
"CR",2020-02-19,"parks",-2
"CR",2020-02-18,"parks",-1
"CR",2020-02-17,"parks",-1
"CR",2020-02-16,"parks",1
"CR",2020-04-05,"residential",21
"CR",2020-04-04,"residential",25
"CR",2020-04-03,"residential",23
"CR",2020-04-02,"residential",21
"CR",2020-04-01,"residential",20
"CR",2020-03-31,"residential",19
"CR",2020-03-30,"residential",19
"CR",2020-03-29,"residential",21
"CR",2020-03-28,"residential",22
"CR",2020-03-27,"residential",22
"CR",2020-03-26,"residential",22
"CR",2020-03-25,"residential",21
"CR",2020-03-24,"residential",20
"CR",2020-03-23,"residential",19
"CR",2020-03-22,"residential",20
"CR",2020-03-21,"residential",20
"CR",2020-03-20,"residential",19
"CR",2020-03-19,"residential",16
"CR",2020-03-18,"residential",13
"CR",2020-03-17,"residential",10
"CR",2020-03-16,"residential",5
"CR",2020-03-15,"residential",5
"CR",2020-03-14,"residential",5
"CR",2020-03-13,"residential",2
"CR",2020-03-12,"residential",1
"CR",2020-03-11,"residential",1
"CR",2020-03-10,"residential",-1
"CR",2020-03-09,"residential",-2
"CR",2020-03-08,"residential",0
"CR",2020-03-07,"residential",2
"CR",2020-03-06,"residential",0
"CR",2020-03-05,"residential",-2
"CR",2020-03-04,"residential",-2
"CR",2020-03-03,"residential",-3
"CR",2020-03-02,"residential",-3
"CR",2020-03-01,"residential",-2
"CR",2020-02-29,"residential",0
"CR",2020-02-28,"residential",-1
"CR",2020-02-27,"residential",-3
"CR",2020-02-26,"residential",-2
"CR",2020-02-25,"residential",-2
"CR",2020-02-24,"residential",-2
"CR",2020-02-23,"residential",-2
"CR",2020-02-22,"residential",1
"CR",2020-02-21,"residential",1
"CR",2020-02-20,"residential",-2
"CR",2020-02-19,"residential",-2
"CR",2020-02-18,"residential",-2
"CR",2020-02-17,"residential",-3
"CR",2020-02-16,"residential",-3
"CR",2020-04-05,"retail and recreation",-74
"CR",2020-04-04,"retail and recreation",-73
"CR",2020-04-03,"retail and recreation",-55
"CR",2020-04-02,"retail and recreation",-48
"CR",2020-04-01,"retail and recreation",-49
"CR",2020-03-31,"retail and recreation",-48
"CR",2020-03-30,"retail and recreation",-47
"CR",2020-03-29,"retail and recreation",-68
"CR",2020-03-28,"retail and recreation",-59
"CR",2020-03-27,"retail and recreation",-53
"CR",2020-03-26,"retail and recreation",-54
"CR",2020-03-25,"retail and recreation",-54
"CR",2020-03-24,"retail and recreation",-53
"CR",2020-03-23,"retail and recreation",-50
"CR",2020-03-22,"retail and recreation",-64
"CR",2020-03-21,"retail and recreation",-59
"CR",2020-03-20,"retail and recreation",-50
"CR",2020-03-19,"retail and recreation",-43
"CR",2020-03-18,"retail and recreation",-36
"CR",2020-03-17,"retail and recreation",-28
"CR",2020-03-16,"retail and recreation",-19
"CR",2020-03-15,"retail and recreation",-19
"CR",2020-03-14,"retail and recreation",-13
"CR",2020-03-13,"retail and recreation",-8
"CR",2020-03-12,"retail and recreation",-10
"CR",2020-03-11,"retail and recreation",-12
"CR",2020-03-10,"retail and recreation",-10
"CR",2020-03-09,"retail and recreation",-8
"CR",2020-03-08,"retail and recreation",-6
"CR",2020-03-07,"retail and recreation",-4
"CR",2020-03-06,"retail and recreation",-3
"CR",2020-03-05,"retail and recreation",-4
"CR",2020-03-04,"retail and recreation",-4
"CR",2020-03-03,"retail and recreation",-3
"CR",2020-03-02,"retail and recreation",-1
"CR",2020-03-01,"retail and recreation",1
"CR",2020-02-29,"retail and recreation",3
"CR",2020-02-28,"retail and recreation",4
"CR",2020-02-27,"retail and recreation",0
"CR",2020-02-26,"retail and recreation",-6
"CR",2020-02-25,"retail and recreation",-7
"CR",2020-02-24,"retail and recreation",-6
"CR",2020-02-23,"retail and recreation",-4
"CR",2020-02-22,"retail and recreation",-4
"CR",2020-02-21,"retail and recreation",-3
"CR",2020-02-20,"retail and recreation",-5
"CR",2020-02-19,"retail and recreation",-4
"CR",2020-02-18,"retail and recreation",-4
"CR",2020-02-17,"retail and recreation",-3
"CR",2020-02-16,"retail and recreation",-1
"CR",2020-04-05,"transit stations",-70
"CR",2020-04-04,"transit stations",-67
"CR",2020-04-03,"transit stations",-57
"CR",2020-04-02,"transit stations",-55
"CR",2020-04-01,"transit stations",-56
"CR",2020-03-31,"transit stations",-55
"CR",2020-03-30,"transit stations",-56
"CR",2020-03-29,"transit stations",-68
"CR",2020-03-28,"transit stations",-61
"CR",2020-03-27,"transit stations",-57
"CR",2020-03-26,"transit stations",-58
"CR",2020-03-25,"transit stations",-57
"CR",2020-03-24,"transit stations",-56
"CR",2020-03-23,"transit stations",-54
"CR",2020-03-22,"transit stations",-62
"CR",2020-03-21,"transit stations",-56
"CR",2020-03-20,"transit stations",-48
"CR",2020-03-19,"transit stations",-42
"CR",2020-03-18,"transit stations",-35
"CR",2020-03-17,"transit stations",-28
"CR",2020-03-16,"transit stations",-20
"CR",2020-03-15,"transit stations",-18
"CR",2020-03-14,"transit stations",-15
"CR",2020-03-13,"transit stations",-11
"CR",2020-03-12,"transit stations",-11
"CR",2020-03-11,"transit stations",-10
"CR",2020-03-10,"transit stations",-7
"CR",2020-03-09,"transit stations",-3
"CR",2020-03-08,"transit stations",-5
"CR",2020-03-07,"transit stations",-5
"CR",2020-03-06,"transit stations",-2
"CR",2020-03-05,"transit stations",-1
"CR",2020-03-04,"transit stations",-1
"CR",2020-03-03,"transit stations",0
"CR",2020-03-02,"transit stations",2
"CR",2020-03-01,"transit stations",2
"CR",2020-02-29,"transit stations",2
"CR",2020-02-28,"transit stations",4
"CR",2020-02-27,"transit stations",1
"CR",2020-02-26,"transit stations",-2
"CR",2020-02-25,"transit stations",-2
"CR",2020-02-24,"transit stations",0
"CR",2020-02-23,"transit stations",0
"CR",2020-02-22,"transit stations",-2
"CR",2020-02-21,"transit stations",-1
"CR",2020-02-20,"transit stations",1
"CR",2020-02-19,"transit stations",0
"CR",2020-02-18,"transit stations",0
"CR",2020-02-17,"transit stations",1
"CR",2020-02-16,"transit stations",2
"CR",2020-04-05,"workplaces",-43
"CR",2020-04-04,"workplaces",-46
"CR",2020-04-03,"workplaces",-42
"CR",2020-04-02,"workplaces",-42
"CR",2020-04-01,"workplaces",-41
"CR",2020-03-31,"workplaces",-41
"CR",2020-03-30,"workplaces",-39
"CR",2020-03-29,"workplaces",-39
"CR",2020-03-28,"workplaces",-34
"CR",2020-03-27,"workplaces",-37
"CR",2020-03-26,"workplaces",-40
"CR",2020-03-25,"workplaces",-39
"CR",2020-03-24,"workplaces",-38
"CR",2020-03-23,"workplaces",-35
"CR",2020-03-22,"workplaces",-34
"CR",2020-03-21,"workplaces",-28
"CR",2020-03-20,"workplaces",-26
"CR",2020-03-19,"workplaces",-24
"CR",2020-03-18,"workplaces",-19
"CR",2020-03-17,"workplaces",-15
"CR",2020-03-16,"workplaces",-1
"CR",2020-03-15,"workplaces",0
"CR",2020-03-14,"workplaces",1
"CR",2020-03-13,"workplaces",11
"CR",2020-03-12,"workplaces",15
"CR",2020-03-11,"workplaces",16
"CR",2020-03-10,"workplaces",18
"CR",2020-03-09,"workplaces",20
"CR",2020-03-08,"workplaces",11
"CR",2020-03-07,"workplaces",3
"CR",2020-03-06,"workplaces",13
"CR",2020-03-05,"workplaces",21
"CR",2020-03-04,"workplaces",20
"CR",2020-03-03,"workplaces",21
"CR",2020-03-02,"workplaces",22
"CR",2020-03-01,"workplaces",16
"CR",2020-02-29,"workplaces",4
"CR",2020-02-28,"workplaces",11
"CR",2020-02-27,"workplaces",22
"CR",2020-02-26,"workplaces",20
"CR",2020-02-25,"workplaces",21
"CR",2020-02-24,"workplaces",21
"CR",2020-02-23,"workplaces",18
"CR",2020-02-22,"workplaces",1
"CR",2020-02-21,"workplaces",6
"CR",2020-02-20,"workplaces",21
"CR",2020-02-19,"workplaces",19
"CR",2020-02-18,"workplaces",20
"CR",2020-02-17,"workplaces",20
"CR",2020-02-16,"workplaces",20
"GT",2020-04-05,"grocery and pharmacy",-33
"GT",2020-04-04,"grocery and pharmacy",-33
"GT",2020-04-03,"grocery and pharmacy",-29
"GT",2020-04-02,"grocery and pharmacy",-31
"GT",2020-04-01,"grocery and pharmacy",-30
"GT",2020-03-31,"grocery and pharmacy",-32
"GT",2020-03-30,"grocery and pharmacy",-36
"GT",2020-03-29,"grocery and pharmacy",-39
"GT",2020-03-28,"grocery and pharmacy",-40
"GT",2020-03-27,"grocery and pharmacy",-41
"GT",2020-03-26,"grocery and pharmacy",-42
"GT",2020-03-25,"grocery and pharmacy",-44
"GT",2020-03-24,"grocery and pharmacy",-47
"GT",2020-03-23,"grocery and pharmacy",-46
"GT",2020-03-22,"grocery and pharmacy",-50
"GT",2020-03-21,"grocery and pharmacy",-42
"GT",2020-03-20,"grocery and pharmacy",-32
"GT",2020-03-19,"grocery and pharmacy",-28
"GT",2020-03-18,"grocery and pharmacy",-25
"GT",2020-03-17,"grocery and pharmacy",-12
"GT",2020-03-16,"grocery and pharmacy",10
"GT",2020-03-15,"grocery and pharmacy",9
